Table with row headings in column A and column headings in row 4.,,,,,,
state,pop,num_pov,st_err_num,pct_pov,st_err_pct,Year
Colorado,5152.891368,613.0008252,61.40155987,11.89624972,1.188442327,
Connecticut,3516.849604,362.7219503,30.1117264,10.31383173,0.860530359,
Delaware,900.1723057,121.0851716,10.61386348,13.45133269,1.182518965,
D.C.,632.4438304,116.4012822,8.517091334,18.40499924,1.344422412,
Florida,19165.92806,2926.322568,127.9549618,15.2683583,0.67575418,
Georgia,9664.540936,1752.142313,133.7461163,18.12959689,1.352945134,
Hawaii,1356.11902,187.5660675,21.07212567,13.83109187,1.559834813,
Idaho,1587.969655,229.4517046,21.93277706,14.44937589,1.401658087,
Illinois,12726.97894,1607.64359,97.85333555,12.63177692,0.778680751,
Indiana,6342.802996,963.5463303,70.19952136,15.19117543,1.11174704,
Iowa,3009.874559,310.2006691,22.41351255,10.30609957,0.770071205,
Kansas,2828.207132,396.7967438,34.19115047,14.02997465,1.253008593,
Kentucky,4342.240655,776.1704823,65.89827479,17.87488405,1.490984165,
Louisiana,4464.534739,944.0284559,99.0465294,21.14505791,2.271738392,
Maine,1329.940182,170.3130393,14.01020741,12.80606764,1.05714576,
Maryland,5892.496703,584.6240341,47.01707381,9.921499554,0.797713661,
Massachusetts,6565.681969,743.0040178,58.80785538,11.31647895,0.906077083,
Michigan,9731.45672,1331.287798,95.37905507,13.68025195,0.980116895,
Minnesota,5352.737531,534.1782611,47.48642117,9.979533987,0.896445332,
Mississippi,2893.36143,635.5870258,54.71027705,21.9670802,1.886965092,
Missouri,5956.017575,905.4695015,86.10233977,15.20259956,1.475400587,
Montana,998.7199858,134.069171,15.02011444,13.42410014,1.476799025,
Nebraska,1848.80141,226.3179617,24.68001926,12.24133433,1.325742844,
Nevada,2734.723543,432.9600839,32.34928835,15.83195073,1.180144161,
New Hampshire,1308.410564,106.4014631,10.52699088,8.132115867,0.80819365,
New Jersey,8719.822828,813.704183,72.88619596,9.331659588,0.831392288,
New Mexico,2064.447884,420.480017,44.10464477,20.3676741,2.141715217,
New York,19297.53293,3328.03586,130.9407775,17.24591362,0.681567646,
North Carolina,9633.950718,1652.261623,125.531017,17.1504056,1.340329754,
North Dakota,692.3290766,78.7765498,7.379248115,11.37848351,1.063039397,
Ohio,11398.31921,1750.931345,119.293087,15.36131172,1.057299173,
Oklahoma,3700.142422,667.621068,45.59067111,18.04311812,1.275049071,
Oregon,3871.574565,522.9974807,39.50015048,13.5086506,1.015692249,
Pennsylvania,12663.84403,1756.404641,111.4050499,13.86944309,0.891788226,
Rhode Island,1033.558731,140.7119559,11.67776546,13.61431641,1.128955213,
South Carolina,4667.020748,779.2147104,63.12741297,16.69619126,1.365851216,
South Dakota,822.2409193,105.5605911,10.69433037,12.83815833,1.309516568,
Tennessee,6422.467325,1193.795505,117.7882543,18.58780193,1.882352608,
Texas,26063.25491,4443.52886,192.0559771,17.04901738,0.745510891,
Utah,2848.831905,312.4120937,45.08128831,10.96632248,1.59385728,
Vermont,614.6252065,68.786402,6.6499227,11.1916012,1.088392758,
Virginia,7993.749802,850.449602,88.9206229,10.63893195,1.12525279,
Washington,6855.616449,795.6518249,57.73258643,11.60583925,0.855659059,
West Virginia,1803.41762,301.3414237,40.15839111,16.70946432,2.1515695,
Wisconsin,5627.590363,640.2074368,49.03838274,11.37622669,0.860013191,
Wyoming,576.6287053,55.5743341,6.810797994,9.637802209,1.168149738,
Alabama,4765,732,74,15.4,1.53,2011
Alaska,712,83,9,11.7,1.33,
Arizona,6547,1128,107,17.2,1.66,
Arkansas,2909,545,46,18.7,1.58,
California,37592,6352,202,16.9,0.55,
Colorado,5016,661,54,13.2,1.07,
Connecticut,3514,356,33,10.1,0.93,
Delaware,902,123,9,13.7,0.97,
D.C.,619,123,9,19.9,1.44,
Florida,18986,2822,136,14.9,0.72,
Georgia,9681,1783,122,18.4,1.25,
Hawaii,1337,162,18,12.1,1.35,
Idaho,1574,248,26,15.7,1.73,
Illinois,12697,1807,109,14.2,0.87,
Indiana,6344,989,83,15.6,1.31,
Iowa,3027,315,24,10.4,0.8,
Kansas,2807,402,32,14.3,1.17,
Kentucky,4302,689,60,16,1.38,
Louisiana,4494,947,75,21.1,1.63,
Maine,1328,178,14,13.4,1.06,
Maryland,5806,537,43,9.3,0.76,
Massachusetts,6514,688,55,10.6,0.85,
Michigan,9689,1449,100,15,1.03,
Minnesota,5276,528,46,10,0.88,
Mississippi,2932,510,40,17.4,1.39,
Missouri,5892,910,98,15.4,1.65,
Montana,986,163,16,16.5,1.64,
Nebraska,1823,187,22,10.2,1.25,
Nevada,2682,414,34,15.5,1.26,
New Hampshire,1300,99,12,7.6,0.89,
New Jersey,8642,988,76,11.4,0.88,
New Mexico,2037,451,36,22.2,1.78,
New York,19329,3085,144,16,0.74,
North Carolina,9504,1459,130,15.4,1.39,
North Dakota,675,67,10,9.9,1.42,
Ohio,11309,1708,129,15.1,1.16,
Oklahoma,3763,522,47,13.9,1.24,
Oregon,3850,553,51,14.4,1.33,
Pennsylvania,12697,1604,106,12.6,0.84,
Rhode Island,1038,139,10,13.4,1.02,
South Carolina,4605,874,64,19,1.39,
South Dakota,808,117,20,14.5,2.45,
Tennessee,6324,1030,104,16.3,1.66,
Texas,25554,4458,196,17.4,0.77,
Utah,2812,309,29,11,1.02,
Vermont,615,71,6,11.6,0.99,
Virginia,7971,907,70,11.4,0.87,
Washington,6812,854,74,12.5,1.09,
West Virginia,1820,318,34,17.5,1.77,
Wisconsin,5676,743,60,13.1,1.08,
Wyoming,562,60,8,10.7,1.43,
Alabama,4717,812,83,17.2,1.79,2010
Alaska,695,87,10,12.5,1.45,
Arizona,6426,1208,108,18.8,1.69,
Arkansas,2879,440,45,15.3,1.58,
California,37240,6073,212,16.3,0.57,
Colorado,4995,615,54,12.3,1.08,
Connecticut,3541,303,27,8.6,0.76,
Delaware,890,109,10,12.2,1.07,
D.C.,604,118,8,19.5,1.29,
Florida,18759,3006,127,16,0.68,
Georgia,9650,1814,104,18.8,1.1,
Hawaii,1311,162,15,12.4,1.18,
Idaho,1543,213,23,13.8,1.53,
Illinois,12784,1798,101,14.1,0.79,
Indiana,6390,1041,95,16.3,1.49,
Iowa,2977,307,30,10.3,1,
Kansas,2766,400,39,14.5,1.44,
Kentucky,4270,754,65,17.7,1.56,
Louisiana,4418,949,69,21.5,1.62,
Maine,1298,164,15,12.6,1.16,
Maryland,5786,628,50,10.9,0.86,
Massachusetts,6532,711,68,10.9,1.06,
Michigan,9751,1530,110,15.7,1.12,
Minnesota,5217,563,43,10.8,0.83,
Mississippi,2920,658,44,22.5,1.48,
Missouri,5929,890,79,15,1.36,
Montana,979,142,17,14.5,1.8,
Nebraska,1804,184,20,10.2,1.15,
Nevada,2696,446,35,16.6,1.31,
New Hampshire,1294,84,8,6.5,0.65,
New Jersey,8733,966,89,11.1,1.01,
New Mexico,2033,372,30,18.3,1.52,
New York,19116,3062,147,16,0.77,
North Carolina,9359,1633,90,17.4,0.96,
North Dakota,653,82,6,12.6,0.87,
Ohio,11341,1746,118,15.4,1.06,
Oklahoma,3697,603,62,16.3,1.68,
Oregon,3752,537,44,14.3,1.17,
Pennsylvania,12530,1535,84,12.2,0.68,
Rhode Island,1042,146,11,14,1.04,
South Carolina,4563,773,53,16.9,1.16,
South Dakota,799,109,9,13.6,1.14,
Tennessee,6315,1052,85,16.7,1.34,
Texas,25200,4633,196,18.4,0.79,
Utah,2768,278,30,10,1.11,
Vermont,624,67,7,10.8,1.1,
Virginia,7837,835,73,10.7,0.94,
Washington,6713,779,73,11.6,1.08,
West Virginia,1816,306,23,16.8,1.32,
Wisconsin,5626,567,52,10.1,0.92,
Wyoming,550,53,5,9.6,0.85,
Alabama,4655,770,60,16.6,1.28,2009
Alaska,688,81,8,11.7,1.2,
Arizona,6508,1381,84,21.2,1.29,
Arkansas,2846,538,40,18.9,1.39,
California,36742,5638,177,15.3,0.48,
Colorado,4969,613,58,12.3,1.17,
Connecticut,3472,292,35,8.4,1.01,
Delaware,883,109,11,12.3,1.19,
D.C.,595,107,9,17.9,1.53,
Florida,18385,2676,116,14.6,0.63,
Georgia,9657,1775,91,18.4,0.94,
Hawaii,1250,156,14,12.5,1.16,
Idaho,1524,209,19,13.7,1.22,
Illinois,12759,1690,94,13.2,0.73,
Indiana,6342,1023,70,16.1,1.1,
Iowa,2987,319,34,10.7,1.14,
Kansas,2737,374,35,13.7,1.29,
Kentucky,4276,727,58,17,1.35,
Louisiana,4450,636,55,14.3,1.24,
Maine,1297,148,16,11.4,1.27,
Maryland,5662,543,54,9.6,0.96,
Massachusetts,6623,717,60,10.8,0.9,
Michigan,9797,1376,83,14,0.84,
Minnesota,5200,576,54,11.1,1.03,
Mississippi,2847,658,44,23.1,1.53,
Missouri,5963,926,68,15.5,1.14,
Montana,971,131,12,13.5,1.23,
Nebraska,1778,176,20,9.9,1.1,
Nevada,2629,343,32,13,1.24,
New Hampshire,1313,103,13,7.8,0.99,
New Jersey,8660,806,66,9.3,0.76,
New Mexico,1971,381,31,19.3,1.56,
New York,19158,3018,125,15.8,0.65,
North Carolina,9336,1576,88,16.9,0.94,
North Dakota,632,69,7,10.9,1.14,
Ohio,11441,1526,87,13.3,0.76,
Oklahoma,3632,468,44,12.9,1.22,
Oregon,3821,510,49,13.4,1.27,
Pennsylvania,12401,1376,84,11.1,0.68,
Rhode Island,1030,134,14,13,1.32,
South Carolina,4501,618,55,13.7,1.21,
South Dakota,799,113,9,14.1,1.17,
Tennessee,6240,1031,70,16.5,1.12,
Texas,24632,4262,154,17.3,0.63,
Utah,2794,270,26,9.7,0.94,
Vermont,617,58,7,9.4,1.14,
Virginia,7767,831,65,10.7,0.84,
Washington,6697,781,65,11.7,0.97,
West Virginia,1801,285,22,15.8,1.23,
Wisconsin,5545,599,56,10.8,1,
Wyoming,540,50,6,9.2,1.11,
Alabama,4716,675,57,14.3,1.2,2008
Alaska,672,55,7,8.2,1.03,
Arizona,6529,1172,79,18,1.21,
Arkansas,2822,431,36,15.3,1.28,
California,36637,5344,174,14.6,0.47,
Colorado,4908,541,55,11,1.13,
Connecticut,3433,276,34,8.1,1,
Delaware,861,82,9,9.6,1.08,
D.C.,590,98,9,16.5,1.49,
Florida,18022,2370,110,13.1,0.61,
Georgia,9541,1477,84,15.5,0.88,
Hawaii,1255,125,13,9.9,1.05,
Idaho,1515,185,18,12.2,1.16,
Illinois,12687,1564,90,12.3,0.71,
Indiana,6288,901,66,14.3,1.06,
Iowa,2986,285,32,9.5,1.08,
Kansas,2716,346,34,12.7,1.26,
Kentucky,4246,724,58,17.1,1.36,
Louisiana,4326,788,60,18.2,1.38,
Maine,1317,158,17,12,1.28,
Maryland,5528,481,51,8.7,0.93,
Massachusetts,6420,727,60,11.3,0.94,
Michigan,9806,1273,80,13,0.81,
Minnesota,5120,506,51,9.9,0.99,
Mississippi,2900,525,40,18.1,1.39,
Missouri,5861,780,63,13.3,1.07,
Montana,973,125,12,12.9,1.21,
Nebraska,1774,188,20,10.6,1.14,
Nevada,2581,278,30,10.8,1.15,
New Hampshire,1300,91,12,7,0.95,
New Jersey,8515,787,65,9.2,0.76,
New Mexico,1977,381,31,19.3,1.55,
New York,19309,2734,120,14.2,0.62,
North Carolina,9234,1285,80,13.9,0.87,
North Dakota,625,74,7,11.8,1.19,
Ohio,11386,1557,88,13.7,0.77,
Oklahoma,3550,484,45,13.6,1.26,
Oregon,3806,403,44,10.6,1.15,
Pennsylvania,12178,1335,83,11,0.68,
Rhode Island,1042,132,14,12.7,1.3,
South Carolina,4462,624,55,14,1.23,
South Dakota,794,104,9,13.1,1.13,
Tennessee,6163,924,67,15,1.09,
Texas,24174,3834,148,15.9,0.61,
Utah,2754,209,23,7.6,0.85,
Vermont,610,55,7,9,1.13,
Virginia,7735,799,64,10.3,0.83,
Washington,6526,680,61,10.4,0.93,
West Virginia,1796,260,21,14.5,1.19,
Wisconsin,5548,544,53,9.8,0.96,
Wyoming,529,54,6,10.1,1.17,
Alabama,4566,662,56,14.5,1.23,2007
Alaska,675,51,7,7.6,1,
Arizona,6365,912,71,14.3,1.12,
Arkansas,2803,387,35,13.8,1.23,
California,36247,4589,163,12.7,0.45,
Colorado,4872,478,52,9.8,1.07,
Connecticut,3471,309,36,8.9,1.04,
Delaware,861,80,9,9.3,1.07,
D.C.,580,104,9,18,1.55,
Florida,18044,2250,108,12.5,0.6,
Georgia,9486,1294,80,13.6,0.84,
Hawaii,1264,94,12,7.5,0.91,
Idaho,1501,149,16,9.9,1.07,
Illinois,12680,1262,82,10,0.65,
Indiana,6258,740,61,11.8,0.98,
Iowa,2965,264,31,8.9,1.05,
Kansas,2720,319,33,11.7,1.21,
Kentucky,4202,653,55,15.5,1.32,
Louisiana,4186,673,56,16.1,1.34,
Maine,1312,142,16,10.9,1.23,
Maryland,5560,491,52,8.8,0.93,
Massachusetts,6336,707,59,11.2,0.94,
Michigan,9919,1076,74,10.8,0.75,
Minnesota,5188,482,50,9.3,0.96,
Mississippi,2895,655,44,22.6,1.51,
Missouri,5783,742,62,12.8,1.06,
Montana,938,122,12,13,1.23,
Nebraska,1751,174,20,9.9,1.11,
Nevada,2566,250,28,9.7,1.1,
New Hampshire,1312,76,11,5.8,0.87,
New Jersey,8548,742,63,8.7,0.74,
New Mexico,1941,271,27,14,1.38,
New York,19021,2757,121,14.5,0.63,
North Carolina,9170,1423,84,15.5,0.92,
North Dakota,614,57,7,9.3,1.08,
Ohio,11280,1446,85,12.8,0.76,
Oklahoma,3551,476,44,13.4,1.25,
Oregon,3761,481,47,12.8,1.26,
Pennsylvania,12297,1273,81,10.4,0.66,
Rhode Island,1042,99,12,9.5,1.14,
South Carolina,4380,617,54,14.1,1.24,
South Dakota,787,74,8,9.4,0.99,
Tennessee,6137,906,66,14.8,1.08,
Texas,23653,3903,148,16.5,0.63,
Utah,2651,255,26,9.6,0.97,
Vermont,613,61,7,9.9,1.18,
Virginia,7678,664,59,8.6,0.77,
Washington,6503,661,60,10.2,0.92,
West Virginia,1793,265,22,14.8,1.2,
Wisconsin,5458,601,56,11,1.02,
Wyoming,518,56,6,10.9,1.22,
Alabama,4532,650,56,14.3,1.23,2006
Alaska,658,58,7,8.9,1.08,
Arizona,6256,902,71,14.4,1.13,
Arkansas,2748,487,38,17.7,1.38,
California,36160,4427,160,12.2,0.44,
Colorado,4797,466,52,9.7,1.08,
Connecticut,3457,275,34,8,0.99,
Delaware,858,80,9,9.3,1.07,
D.C.,569,104,9,18.3,1.58,
Florida,18029,2068,104,11.5,0.58,
Georgia,9334,1172,76,12.6,0.82,
Hawaii,1254,116,13,9.2,1.01,
Idaho,1472,141,16,9.5,1.06,
Illinois,12633,1338,85,10.6,0.67,
Indiana,6334,674,59,10.6,0.93,
Iowa,2913,301,33,10.3,1.14,
Kansas,2719,349,34,12.8,1.26,
Kentucky,4106,690,56,16.8,1.37,
Louisiana,4206,713,57,17,1.36,
Maine,1313,134,16,10.2,1.2,
Maryland,5607,469,51,8.4,0.9,
Massachusetts,6324,758,61,12,0.97,
Michigan,9953,1323,81,13.3,0.82,
Minnesota,5145,422,47,8.2,0.91,
Mississippi,2887,596,42,20.6,1.46,
